ligue,journee,date,heure,equipe1,equipe2,score_equipe1_final,score_equipe2_final
fr.1,Matchday 12,2024-11-24,20:45,OGC Nice,RC Strasbourg Alsace,2,1
fr.1,Matchday 13,2024-11-29,20:45,Stade de Reims,Racing Club de Lens,0,2
fr.1,Matchday 13,2024-11-30,17:00,Stade Rennais FC 1901,AS Saint-Étienne,5,0
fr.1,Matchday 13,2024-11-30,19:00,Stade Brestois 29,RC Strasbourg Alsace,3,1
fr.1,Matchday 13,2024-11-30,21:00,Paris Saint-Germain FC,FC Nantes,1,1
fr.1,Matchday 13,2024-12-01,15:00,Montpellier HSC,Lille OSC,2,2
fr.1,Matchday 13,2024-12-01,17:00,Le Havre AC,Angers SCO,0,1
fr.1,Matchday 13,2024-12-01,17:00,Toulouse FC,AJ Auxerre,2,0
fr.1,Matchday 13,2024-12-01,17:00,Olympique Lyonnais,OGC Nice,4,1
fr.1,Matchday 13,2024-12-01,20:45,Olympique de Marseille,AS Monaco FC,2,1
fr.1,Matchday 14,2024-12-06,19:00,Lille OSC,Stade Brestois 29,3,1
fr.1,Matchday 14,2024-12-06,21:00,AJ Auxerre,Paris Saint-Germain FC,0,0
fr.1,Matchday 14,2024-12-07,17:00,AS Monaco FC,Toulouse FC,2,0
fr.1,Matchday 14,2024-12-07,19:00,OGC Nice,Le Havre AC,2,1
fr.1,Matchday 14,2024-12-07,21:00,Angers SCO,Olympique Lyonnais,0,3
fr.1,Matchday 14,2024-12-08,15:00,Racing Club de Lens,Montpellier HSC,2,0
fr.1,Matchday 14,2024-12-08,17:00,RC Strasbourg Alsace,Stade de Reims,0,0
fr.1,Matchday 14,2024-12-08,17:00,FC Nantes,Stade Rennais FC 1901,1,0
fr.1,Matchday 14,2024-12-08,20:45,AS Saint-Étienne,Olympique de Marseille,0,2
fr.1,Matchday 15,2024-12-13,20:45,Toulouse FC,AS Saint-Étienne,2,1
fr.1,Matchday 15,2024-12-14,17:00,Olympique de Marseille,Lille OSC,1,1
fr.1,Matchday 15,2024-12-14,19:00,AJ Auxerre,Racing Club de Lens,2,2
fr.1,Matchday 15,2024-12-14,21:00,Stade de Reims,AS Monaco FC,0,0
fr.1,Matchday 15,2024-12-15,15:00,Montpellier HSC,OGC Nice,2,2
fr.1,Matchday 15,2024-12-15,17:00,Stade Rennais FC 1901,Angers SCO,2,0
fr.1,Matchday 15,2024-12-15,17:00,Le Havre AC,RC Strasbourg Alsace,0,3
fr.1,Matchday 15,2024-12-15,17:00,Stade Brestois 29,FC Nantes,4,1
fr.1,Matchday 15,2024-12-15,20:45,Paris Saint-Germain FC,Olympique Lyonnais,3,1
fr.1,Matchday 16,2024-12-18,21:00,AS Monaco FC,Paris Saint-Germain FC,2,4
fr.1,Matchday 16,2025-01-03,21:00,OGC Nice,Stade Rennais FC 1901,3,2
fr.1,Matchday 16,2025-01-04,17:00,AS Saint-Étienne,Stade de Reims,3,1
fr.1,Matchday 16,2025-01-04,19:00,Lille OSC,FC Nantes,1,1
fr.1,Matchday 16,2025-01-04,21:00,Olympique Lyonnais,Montpellier HSC,1,0
fr.1,Matchday 16,2025-01-05,15:00,Racing Club de Lens,Toulouse FC,0,1
fr.1,Matchday 16,2025-01-05,15:00,Angers SCO,Stade Brestois 29,2,0
fr.1,Matchday 16,2025-01-05,15:00,RC Strasbourg Alsace,AJ Auxerre,3,1
fr.1,Matchday 16,2025-01-05,20:45,Olympique de Marseille,Le Havre AC,5,1
fr.1,Matchday 17,2025-01-10,19:00,FC Nantes,AS Monaco FC,2,2
fr.1,Matchday 17,2025-01-10,21:05,AJ Auxerre,Lille OSC,0,0
fr.1,Matchday 17,2025-01-11,17:00,Stade Brestois 29,Olympique Lyonnais,2,1
fr.1,Matchday 17,2025-01-11,19:00,Stade de Reims,OGC Nice,2,4
fr.1,Matchday 17,2025-01-11,21:05,Stade Rennais FC 1901,Olympique de Marseille,1,2
fr.1,Matchday 17,2025-01-12,15:00,Le Havre AC,Racing Club de Lens,1,2
fr.1,Matchday 17,2025-01-12,17:15,Toulouse FC,RC Strasbourg Alsace,1,2
fr.1,Matchday 17,2025-01-12,17:15,Montpellier HSC,Angers SCO,1,3
fr.1,Matchday 17,2025-01-12,20:45,Paris Saint-Germain FC,AS Saint-Étienne,2,1
fr.1,Matchday 18,2025-01-17,19:00,Montpellier HSC,AS Monaco FC,2,1
fr.1,Matchday 18,2025-01-17,21:05,Lille OSC,OGC Nice,2,1
fr.1,Matchday 18,2025-01-18,17:00,Racing Club de Lens,Paris Saint-Germain FC,1,2
fr.1,Matchday 18,2025-01-18,19:00,Stade Rennais FC 1901,Stade Brestois 29,1,2
fr.1,Matchday 18,2025-01-18,21:05,Olympique Lyonnais,Toulouse FC,0,0
